X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,RiskIndex
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,3.38225806451613
8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,3.69960784313725
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,4.01625
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,4.98181818181818
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,3.11142857142857
2,2,aug,tue,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,2.71116279069767
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,4.266
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,3.21230769230769
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,2.09553191489362
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,2.96
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,2.33037037037037
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,2.34285714285714
7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0,1.69,3.24117647058824
6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94,4.16774193548387
6,5,aug,wed,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,3.19090909090909
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53,5.27846153846154
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,2.78307692307692
1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53,2.55051282051282
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,5.0040625
8,6,oct,mon,84.9,32.8,664.2,3,19.1,32,4,0,5.44,2.3875
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,2.99764705882353
2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68,2.33357142857143
2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71,5.03181818181818
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4,0,9.41,3.888
2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,10.01,5.03181818181818
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02,3.525
2,4,sep,mon,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32,2.14105263157895
2,2,aug,sat,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,5.31870967741935
6,5,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,3.74181818181818
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,4.37230769230769
4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23,2.2816
7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13,2.09553191489362
4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,3.08518518518519
4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,3.08518518518519
4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55,2.87717948717949
8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3,2.66029411764706
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1,3.37423076923077
4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49,5.65714285714286
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0,95.18,3.19185185185185
9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,2.0925
4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88,2.1948
8,6,aug,sun,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48,2.77268292682927
6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84,3.71851851851852
2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0,2.87,3.15259259259259
3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76,4.44315789473684
5,4,aug,sun,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09,3.55846153846154
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68,3.3232
8,5,aug,wed,93.1,157.3,666.7,13.5,24,36,3.1,0,0.24,2.06666666666667
6,5,aug,wed,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21,2.15027027027027
2,4,aug,mon,93.6,97.9,542,14.4,28.3,32,4,0,8.85,3.5375
4,4,aug,tue,93.7,102.2,550.3,14.6,22.1,54,7.6,0,0.79,3.11037037037037
7,6,jul,tue,93.1,180.4,430.8,11,26.9,28,5.4,0,86.45,5.18785714285714
6,5,jun,mon,90.4,93.3,298.1,7.5,19.1,39,5.4,0,3.52,2.64461538461538
3,4,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0,5.18,2.448
4,4,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0,3.78,3.92
5,4,sep,thu,92.8,119,783.5,7.5,21.6,28,6.3,0,4.41,4.86
6,3,sep,thu,92.8,119,783.5,7.5,18.9,34,7.2,0,34.36,4.00235294117647
1,4,sep,thu,92.8,119,783.5,7.5,16.8,28,4,0,7.21,2.4
6,5,sep,thu,92.8,119,783.5,7.5,16.8,28,4,0,1.01,2.4
4,3,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4,0,3.33,3.48148148148148
3,3,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0,6.58,2.77851851851852
7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0,15.64,3.45535714285714
4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0,13.06,2.912
4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0,1.26,2.912
4,5,sep,tue,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1.75,2.25947368421053
5,4,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0,7.73,3.56307692307692
8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18,2.17840909090909
3,4,sep,sun,90.5,96.7,750.5,11.4,20.6,55,5.4,0,24.59,2.02254545454545
6,4,aug,fri,94.8,227,706.7,12,23.3,34,3.1,0,28.74,2.12441176470588
1,3,sep,sun,91,276.3,825.1,7.1,21.9,43,4,0,70.76,2.03720930232558
5,6,aug,sun,91.6,181.3,613,7.6,24.3,33,3.6,0,3.63,2.65090909090909
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0,8.16,3.70588235294118
9,4,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0,1.63,3.8
8,6,aug,thu,94.8,222.4,698.6,13.9,27.5,27,4.9,0,746.28,4.99074074074074
6,3,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0,7.02,2.09051282051282
2,4,aug,sun,92,203.2,664.5,8.1,24.9,42,5.4,0,2.44,3.20142857142857
2,5,aug,sun,91.6,181.3,613,7.6,24.8,36,4,0,3.05,2.75555555555556
8,8,aug,wed,91.7,191.4,635.9,7.8,26.2,36,4.5,0,185.76,3.275
8,6,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0,6.3,3.90666666666667
8,6,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96,3.12387096774194
3,4,aug,sun,91.6,181.3,613,7.6,24.6,44,4,0,3.2,2.23636363636364
1,3,aug,sat,92.1,178,605.3,9.6,23.3,40,4,0,6.36,2.33
4,5,aug,wed,95.2,217.7,690,18,23.4,49,5.4,0,6.43,2.57877551020408
6,3,apr,sun,91,14.6,25.6,12.3,13.7,33,9.4,0,61.13,3.90242424242424
4,3,jun,thu,93,103.8,316.7,10.8,26.4,35,2.7,0,10.08,2.03657142857143
2,5,jun,thu,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19,5.3345
4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4,0,7.36,2.32
9,9,jul,thu,93.2,114.4,560,9.5,30.2,25,4.5,0,2.75,5.436
3,4,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29,3.393
2,5,aug,sun,94.9,130.3,587.1,14.1,33.1,25,4,0,26.43,5.296
2,4,aug,mon,95,135.5,596.3,21.3,30.6,28,3.6,0,2.07,3.93428571428571
5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2,3.53093023255814
5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0,16.4,2.79529411764706
4,4,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0,46.7,2.07661971830986
1,3,aug,fri,95.9,158,633.6,11.3,27.5,29,4.5,0,43.32,4.26724137931035
6,6,aug,sat,96,164,643,14,30.8,30,4.9,0,8.59,5.03066666666667
4,5,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77,3.88692307692308
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68,2.63185185185185
6,5,aug,tue,96.1,181.1,671.2,14.3,33.3,26,2.7,0,40.54,3.45807692307692
7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,2.12333333333333
2,4,aug,wed,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95,4.76933333333333
4,3,aug,wed,94.5,139.4,689.1,20,28.9,29,4.9,0,49.59,4.88310344827586
5,4,aug,fri,91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,2.25859154929577
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44,2.345625
7,4,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0,11.16,2.02914285714286
